order_item_key,order_item_id,order_key,product_key,time_key,product_name,product_sku,shop_sku,variation,quantity,item_price,total_item_price,paid_price,item_voucher_discount,shipping_amount,tax_amount,item_status,cancellation_reason,tracking_code,warehouse_code,created_at,updated_at
,1034449669626852,,,20250924,1L Waterbased Humidifier Scent,4896157465-1747799557908-9,4896157465_PH-30052318342,Scent:Conrad,1,395.0,395.0,395.0,0.0,22.5,0.0,confirmed,,MP1380163476,dropshipping,2025-09-24 10:56:44+08:00,2025-09-26 19:39:03+08:00
,1034458469617774,,,20250924,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,375.25,19.75,0.0,0.0,confirmed,,MP1380163703,dropshipping,2025-09-24 11:38:10+08:00,2025-09-25 13:17:10+08:00
,1042482380458325,,,20250924,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,358.12,36.88,40.5,0.0,confirmed,,MP1380163475,dropshipping,2025-09-24 11:41:51+08:00,2025-09-25 14:51:44+08:00
,1042587308201077,,,20250924,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,361.5,33.5,0.0,0.0,confirmed,,MP1380303121,dropshipping,2025-09-24 19:20:34+08:00,2025-09-27 14:31:16+08:00
,1034586883305451,,,20250924,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,375.25,19.75,61.2,0.0,confirmed,,MP1380302925,dropshipping,2025-09-24 23:11:46+08:00,2025-09-29 11:05:30+08:00
,1042670719391439,,,20250925,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,40.5,0.0,confirmed,,MP1380513975,dropshipping,2025-09-25 07:51:55+08:00,2025-10-02 18:06:02+08:00
,1034638277173263,,,20250925,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,52.0,0.0,confirmed,,MP1380514280,dropshipping,2025-09-25 08:26:58+08:00,2025-10-06 13:00:19+08:00
,1034638277273263,,,20250925,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,52.0,0.0,confirmed,,MP1380514280,dropshipping,2025-09-25 08:26:58+08:00,2025-10-06 13:00:19+08:00
,1034638277373263,,,20250925,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,52.0,0.0,confirmed,,MP1380514280,dropshipping,2025-09-25 08:26:58+08:00,2025-10-06 13:00:19+08:00
,1042671386173263,,,20250925,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,52.0,0.0,confirmed,,MP1380514145,dropshipping,2025-09-25 08:28:15+08:00,2025-10-06 13:00:18+08:00
